"State","Sex","Race/Ethnicity","Age Group","First Year","Last Year","Rank","Cause of Death","Deaths"
"United States","Both Sexes","All Races,","<1 yrs","2016","2016","1","Congenital Anomalies","4816"
"United States","Both Sexes","All Races,","<1 yrs","2016","2016","2","Short Gestation","3927"
"United States","Both Sexes","All Races,","<1 yrs","2016","2016","3","SIDS","1500"
"United States","Both Sexes","All Races,","<1 yrs","2016","2016","4","Maternal Pregnancy Comp.","1402"
"United States","Both Sexes","All Races,","<1 yrs","2016","2016","5","Unintentional Injury","1219"
"United States","Both Sexes","All Races,","<1 yrs","2016","2016","6","Placenta  Cord Membranes","841"
"United States","Both Sexes","All Races,","<1 yrs","2016","2016","7","Bacterial Sepsis","583"
"United States","Both Sexes","All Races,","<1 yrs","2016","2016","8","Respiratory Distress","488"
"United States","Both Sexes","All Races,","<1 yrs","2016","2016","9","Circulatory System Disease","460"
"United States","Both Sexes","All Races,","<1 yrs","2016","2016","10","Neonatal Hemorrhage","398"
"United States","Both Sexes","All Races,","<1 yrs","2016","2016","11","Intrauterine Hypoxia","342"
"United States","Both Sexes","All Races,","<1 yrs","2016","2016","12","Necrotizing Enterocolitis","341"
"United States","Both Sexes","All Races,","<1 yrs","2016","2016","13","Atelectasis","276"
"United States","Both Sexes","All Races,","<1 yrs","2016","2016","13","Homicide","276"
"United States","Both Sexes","All Races,","<1 yrs","2016","2016","14","Diarrhea","213"
"United States","Both Sexes","All Races,","1-4 yrs","2016","2016","1","Unintentional Injury","1261"
"United States","Both Sexes","All Races,","1-4 yrs","2016","2016","2","Congenital Anomalies","433"
"United States","Both Sexes","All Races,","1-4 yrs","2016","2016","3","Malignant Neoplasms","377"
"United States","Both Sexes","All Races,","1-4 yrs","2016","2016","4","Homicide","339"
"United States","Both Sexes","All Races,","1-4 yrs","2016","2016","5","Heart Disease","118"
"United States","Both Sexes","All Races,","1-4 yrs","2016","2016","6","Influenza & Pneumonia","103"
"United States","Both Sexes","All Races,","1-4 yrs","2016","2016","7","Septicemia","70"
"United States","Both Sexes","All Races,","1-4 yrs","2016","2016","8","Perinatal Period","60"
"United States","Both Sexes","All Races,","1-4 yrs","2016","2016","9","Cerebrovascular","55"
"United States","Both Sexes","All Races,","1-4 yrs","2016","2016","10","Chronic Low. Respiratory Disease","51"
"United States","Both Sexes","All Races,","1-4 yrs","2016","2016","11","Benign Neoplasms","49"
"United States","Both Sexes","All Races,","1-4 yrs","2016","2016","12","Anemias","20"
"United States","Both Sexes","All Races,","1-4 yrs","2016","2016","13","Acute Bronchititis","18"
"United States","Both Sexes","All Races,","1-4 yrs","2016","2016","14","Nephritis","15"
"United States","Both Sexes","All Races,","1-4 yrs","2016","2016","15","Meningitis","14"
"United States","Both Sexes","All Races,","5-9 yrs","2016","2016","1","Unintentional Injury","787"
"United States","Both Sexes","All Races,","5-9 yrs","2016","2016","2","Malignant Neoplasms","449"
"United States","Both Sexes","All Races,","5-9 yrs","2016","2016","3","Congenital Anomalies","203"
"United States","Both Sexes","All Races,","5-9 yrs","2016","2016","4","Homicide","139"
"United States","Both Sexes","All Races,","5-9 yrs","2016","2016","5","Heart Disease","77"
"United States","Both Sexes","All Races,","5-9 yrs","2016","2016","6","Chronic Low. Respiratory Disease","68"
"United States","Both Sexes","All Races,","5-9 yrs","2016","2016","7","Influenza & Pneumonia","48"
"United States","Both Sexes","All Races,","5-9 yrs","2016","2016","8","Septicemia","40"
"United States","Both Sexes","All Races,","5-9 yrs","2016","2016","9","Cerebrovascular","38"
"United States","Both Sexes","All Races,","5-9 yrs","2016","2016","10","Benign Neoplasms","31"
"United States","Both Sexes","All Races,","5-9 yrs","2016","2016","11","Anemias","14"
"United States","Both Sexes","All Races,","5-9 yrs","2016","2016","11","Perinatal Period","14"
"United States","Both Sexes","All Races,","5-9 yrs","2016","2016","12","Diabetes Mellitus","10"
"United States","Both Sexes","All Races,","5-9 yrs","2016","2016","12","Nephritis","10"
"United States","Both Sexes","All Races,","5-9 yrs","2016","2016","13","Meningitis","8"
"United States","Both Sexes","All Races,","10-14 yrs","2016","2016","1","Unintentional Injury","847"
"United States","Both Sexes","All Races,","10-14 yrs","2016","2016","2","Suicide","436"
"United States","Both Sexes","All Races,","10-14 yrs","2016","2016","3","Malignant Neoplasms","431"
"United States","Both Sexes","All Races,","10-14 yrs","2016","2016","4","Homicide","147"
"United States","Both Sexes","All Races,","10-14 yrs","2016","2016","5","Congenital Anomalies","146"
"United States","Both Sexes","All Races,","10-14 yrs","2016","2016","6","Heart Disease","111"
"United States","Both Sexes","All Races,","10-14 yrs","2016","2016","7","Chronic Low. Respiratory Disease","75"
"United States","Both Sexes","All Races,","10-14 yrs","2016","2016","8","Cerebrovascular","50"
"United States","Both Sexes","All Races,","10-14 yrs","2016","2016","9","Influenza & Pneumonia","39"
"United States","Both Sexes","All Races,","10-14 yrs","2016","2016","10","Septicemia","31"
"United States","Both Sexes","All Races,","10-14 yrs","2016","2016","11","Benign Neoplasms","28"
"United States","Both Sexes","All Races,","10-14 yrs","2016","2016","12","Diabetes Mellitus","16"
"United States","Both Sexes","All Races,","10-14 yrs","2016","2016","13","Perinatal Period","12"
"United States","Both Sexes","All Races,","10-14 yrs","2016","2016","14","Anemias","10"
"United States","Both Sexes","All Races,","10-14 yrs","2016","2016","15","Diseases Of Appendix","6"
"United States","Both Sexes","All Races,","15-24 yrs","2016","2016","1","Unintentional Injury","13895"
"United States","Both Sexes","All Races,","15-24 yrs","2016","2016","2","Suicide","5723"
"United States","Both Sexes","All Races,","15-24 yrs","2016","2016","3","Homicide","5172"
"United States","Both Sexes","All Races,","15-24 yrs","2016","2016","4","Malignant Neoplasms","1431"
"United States","Both Sexes","All Races,","15-24 yrs","2016","2016","5","Heart Disease","949"
"United States","Both Sexes","All Races,","15-24 yrs","2016","2016","6","Congenital Anomalies","388"
"United States","Both Sexes","All Races,","15-24 yrs","2016","2016","7","Diabetes Mellitus","211"
"United States","Both Sexes","All Races,","15-24 yrs","2016","2016","8","Chronic Low. Respiratory Disease","206"
"United States","Both Sexes","All Races,","15-24 yrs","2016","2016","9","Influenza & Pneumonia","189"
"United States","Both Sexes","All Races,","15-24 yrs","2016","2016","10","Complicated Pregnancy","184"
"United States","Both Sexes","All Races,","15-24 yrs","2016","2016","11","Cerebrovascular","148"
"United States","Both Sexes","All Races,","15-24 yrs","2016","2016","12","Septicemia","143"
"United States","Both Sexes","All Races,","15-24 yrs","2016","2016","13","Anemias","78"
"United States","Both Sexes","All Races,","15-24 yrs","2016","2016","14","Benign Neoplasms","70"
"United States","Both Sexes","All Races,","15-24 yrs","2016","2016","15","HIV","68"
"United States","Both Sexes","All Races,","25-34 yrs","2016","2016","1","Unintentional Injury","23984"
"United States","Both Sexes","All Races,","25-34 yrs","2016","2016","2","Suicide","7366"
"United States","Both Sexes","All Races,","25-34 yrs","2016","2016","3","Homicide","5376"
"United States","Both Sexes","All Races,","25-34 yrs","2016","2016","4","Malignant Neoplasms","3791"
