"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"1999"	"1999"	"Jan., 1999"	"1999/01"	"Unintentional"	"1"	7932	Not Applicable	Not Applicable	0.02%
	"1999"	"1999"	"Jan., 1999"	"1999/01"	"Suicide"	"2"	2498	Not Applicable	Not Applicable	0.01%
	"1999"	"1999"	"Jan., 1999"	"1999/01"	"Homicide"	"3"	1482	Not Applicable	Not Applicable	0.00%
	"1999"	"1999"	"Jan., 1999"	"1999/01"	"Undetermined "	"4"	329	Not Applicable	Not Applicable	0.00%
	"1999"	"1999"	"Jan., 1999"	"1999/01"	"Legal Intervention / Operations of War"	"5"	38	Not Applicable	Not Applicable	0.00%
	"1999"	"1999"	"Jan., 1999"	"1999/01"	"Non-Injury, no intent classified"	"9"	215325	Not Applicable	Not Applicable	0.48%
"Total"	"1999"	"1999"	"Jan., 1999"	"1999/01"			227604	Not Applicable	Not Applicable	0.51%
	"1999"	"1999"	"Feb., 1999"	"1999/02"	"Unintentional"	"1"	7001	Not Applicable	Not Applicable	0.02%
	"1999"	"1999"	"Feb., 1999"	"1999/02"	"Suicide"	"2"	2296	Not Applicable	Not Applicable	0.01%
	"1999"	"1999"	"Feb., 1999"	"1999/02"	"Homicide"	"3"	1199	Not Applicable	Not Applicable	0.00%
	"1999"	"1999"	"Feb., 1999"	"1999/02"	"Undetermined "	"4"	309	Not Applicable	Not Applicable	0.00%
	"1999"	"1999"	"Feb., 1999"	"1999/02"	"Legal Intervention / Operations of War"	"5"	44	Not Applicable	Not Applicable	0.00%
	"1999"	"1999"	"Feb., 1999"	"1999/02"	"Non-Injury, no intent classified"	"9"	197325	Not Applicable	Not Applicable	0.44%
"Total"	"1999"	"1999"	"Feb., 1999"	"1999/02"			208174	Not Applicable	Not Applicable	0.46%
	"1999"	"1999"	"Mar., 1999"	"1999/03"	"Unintentional"	"1"	7801	Not Applicable	Not Applicable	0.02%
	"1999"	"1999"	"Mar., 1999"	"1999/03"	"Suicide"	"2"	2465	Not Applicable	Not Applicable	0.01%
	"1999"	"1999"	"Mar., 1999"	"1999/03"	"Homicide"	"3"	1299	Not Applicable	Not Applicable	0.00%
	"1999"	"1999"	"Mar., 1999"	"1999/03"	"Undetermined "	"4"	305	Not Applicable	Not Applicable	0.00%
	"1999"	"1999"	"Mar., 1999"	"1999/03"	"Legal Intervention / Operations of War"	"5"	39	Not Applicable	Not Applicable	0.00%
	"1999"	"1999"	"Mar., 1999"	"1999/03"	"Non-Injury, no intent classified"	"9"	214856	Not Applicable	Not Applicable	0.48%
"Total"	"1999"	"1999"	"Mar., 1999"	"1999/03"			226765	Not Applicable	Not Applicable	0.50%
	"1999"	"1999"	"Apr., 1999"	"1999/04"	"Unintentional"	"1"	7567	Not Applicable	Not Applicable	0.02%
	"1999"	"1999"	"Apr., 1999"	"1999/04"	"Suicide"	"2"	2475	Not Applicable	Not Applicable	0.01%
	"1999"	"1999"	"Apr., 1999"	"1999/04"	"Homicide"	"3"	1304	Not Applicable	Not Applicable	0.00%
	"1999"	"1999"	"Apr., 1999"	"1999/04"	"Undetermined "	"4"	363	Not Applicable	Not Applicable	0.00%
	"1999"	"1999"	"Apr., 1999"	"1999/04"	"Legal Intervention / Operations of War"	"5"	34	Not Applicable	Not Applicable	0.00%
	"1999"	"1999"	"Apr., 1999"	"1999/04"	"Non-Injury, no intent classified"	"9"	184801	Not Applicable	Not Applicable	0.41%
"Total"	"1999"	"1999"	"Apr., 1999"	"1999/04"			196544	Not Applicable	Not Applicable	0.44%
	"1999"	"1999"	"May, 1999"	"1999/05"	"Unintentional"	"1"	8418	Not Applicable	Not Applicable	0.02%
	"1999"	"1999"	"May, 1999"	"1999/05"	"Suicide"	"2"	2542	Not Applicable	Not Applicable	0.01%
	"1999"	"1999"	"May, 1999"	"1999/05"	"Homicide"	"3"	1428	Not Applicable	Not Applicable	0.00%
	"1999"	"1999"	"May, 1999"	"1999/05"	"Undetermined "	"4"	325	Not Applicable	Not Applicable	0.00%
	"1999"	"1999"	"May, 1999"	"1999/05"	"Legal Intervention / Operations of War"	"5"	32	Not Applicable	Not Applicable	0.00%
	"1999"	"1999"	"May, 1999"	"1999/05"	"Non-Injury, no intent classified"	"9"	179237	Not Applicable	Not Applicable	0.40%
"Total"	"1999"	"1999"	"May, 1999"	"1999/05"			191982	Not Applicable	Not Applicable	0.43%
	"1999"	"1999"	"Jun., 1999"	"1999/06"	"Unintentional"	"1"	8195	Not Applicable	Not Applicable	0.02%
	"1999"	"1999"	"Jun., 1999"	"1999/06"	"Suicide"	"2"	2434	Not Applicable	Not Applicable	0.01%
	"1999"	"1999"	"Jun., 1999"	"1999/06"	"Homicide"	"3"	1421	Not Applicable	Not Applicable	0.00%
	"1999"	"1999"	"Jun., 1999"	"1999/06"	"Undetermined "	"4"	311	Not Applicable	Not Applicable	0.00%
	"1999"	"1999"	"Jun., 1999"	"1999/06"	"Legal Intervention / Operations of War"	"5"	26	Not Applicable	Not Applicable	0.00%
	"1999"	"1999"	"Jun., 1999"	"1999/06"	"Non-Injury, no intent classified"	"9"	167766	Not Applicable	Not Applicable	0.37%
"Total"	"1999"	"1999"	"Jun., 1999"	"1999/06"			180153	Not Applicable	Not Applicable	0.40%
	"1999"	"1999"	"Jul., 1999"	"1999/07"	"Unintentional"	"1"	9318	Not Applicable	Not Applicable	0.02%
	"1999"	"1999"	"Jul., 1999"	"1999/07"	"Suicide"	"2"	2550	Not Applicable	Not Applicable	0.01%
	"1999"	"1999"	"Jul., 1999"	"1999/07"	"Homicide"	"3"	1532	Not Applicable	Not Applicable	0.00%
	"1999"	"1999"	"Jul., 1999"	"1999/07"	"Undetermined "	"4"	359	Not Applicable	Not Applicable	0.00%
	"1999"	"1999"	"Jul., 1999"	"1999/07"	"Legal Intervention / Operations of War"	"5"	31	Not Applicable	Not Applicable	0.00%
	"1999"	"1999"	"Jul., 1999"	"1999/07"	"Non-Injury, no intent classified"	"9"	173076	Not Applicable	Not Applicable	0.39%
"Total"	"1999"	"1999"	"Jul., 1999"	"1999/07"			186866	Not Applicable	Not Applicable	0.42%
	"1999"	"1999"	"Aug., 1999"	"1999/08"	"Unintentional"	"1"	8832	Not Applicable	Not Applicable	0.02%
	"1999"	"1999"	"Aug., 1999"	"1999/08"	"Suicide"	"2"	2589	Not Applicable	Not Applicable	0.01%
	"1999"	"1999"	"Aug., 1999"	"1999/08"	"Homicide"	"3"	1476	Not Applicable	Not Applicable	0.00%
	"1999"	"1999"	"Aug., 1999"	"1999/08"	"Undetermined "	"4"	342	Not Applicable	Not Applicable	0.00%
	"1999"	"1999"	"Aug., 1999"	"1999/08"	"Legal Intervention / Operations of War"	"5"	38	Not Applicable	Not Applicable	0.00%
	"1999"	"1999"	"Aug., 1999"	"1999/08"	"Non-Injury, no intent classified"	"9"	169219	Not Applicable	Not Applicable	0.38%
"Total"	"1999"	"1999"	"Aug., 1999"	"1999/08"			182496	Not Applicable	Not Applicable	0.41%
	"1999"	"1999"	"Sep., 1999"	"1999/09"	"Unintentional"	"1"	8106	Not Applicable	Not Applicable	0.02%
	"1999"	"1999"	"Sep., 1999"	"1999/09"	"Suicide"	"2"	2251	Not Applicable	Not Applicable	0.01%
	"1999"	"1999"	"Sep., 1999"	"1999/09"	"Homicide"	"3"	1503	Not Applicable	Not Applicable	0.00%
	"1999"	"1999"	"Sep., 1999"	"1999/09"	"Undetermined "	"4"	299	Not Applicable	Not Applicable	0.00%
	"1999"	"1999"	"Sep., 1999"	"1999/09"	"Legal Intervention / Operations of War"	"5"	44	Not Applicable	Not Applicable	0.00%
	"1999"	"1999"	"Sep., 1999"	"1999/09"	"Non-Injury, no intent classified"	"9"	168107	Not Applicable	Not Applicable	0.37%
"Total"	"1999"	"1999"	"Sep., 1999"	"1999/09"			180310	Not Applicable	Not Applicable	0.40%
	"1999"	"1999"	"Oct., 1999"	"1999/10"	"Unintentional"	"1"	8354	Not Applicable	Not Applicable	0.02%
	"1999"	"1999"	"Oct., 1999"	"1999/10"	"Suicide"	"2"	2439	Not Applicable	Not Applicable	0.01%
	"1999"	"1999"	"Oct., 1999"	"1999/10"	"Homicide"	"3"	1450	Not Applicable	Not Applicable	0.00%
	"1999"	"1999"	"Oct., 1999"	"1999/10"	"Undetermined "	"4"	339	Not Applicable	Not Applicable	0.00%
	"1999"	"1999"	"Oct., 1999"	"1999/10"	"Legal Intervention / Operations of War"	"5"	34	Not Applicable	Not Applicable	0.00%
	"1999"	"1999"	"Oct., 1999"	"1999/10"	"Non-Injury, no intent classified"	"9"	183023	Not Applicable	Not Applicable	0.41%
"Total"	"1999"	"1999"	"Oct., 1999"	"1999/10"			195639	Not Applicable	Not Applicable	0.44%
	"1999"	"1999"	"Nov., 1999"	"1999/11"	"Unintentional"	"1"	7850	Not Applicable	Not Applicable	0.02%
	"1999"	"1999"	"Nov., 1999"	"1999/11"	"Suicide"	"2"	2424	Not Applicable	Not Applicable	0.01%
	"1999"	"1999"	"Nov., 1999"	"1999/11"	"Homicide"	"3"	1319	Not Applicable	Not Applicable	0.00%
	"1999"	"1999"	"Nov., 1999"	"1999/11"	"Undetermined "	"4"	296	Not Applicable	Not Applicable	0.00%
	"1999"	"1999"	"Nov., 1999"	"1999/11"	"Legal Intervention / Operations of War"	"5"	27	Not Applicable	Not Applicable	0.00%
	"1999"	"1999"	"Nov., 1999"	"1999/11"	"Non-Injury, no intent classified"	"9"	180169	Not Applicable	Not Applicable	0.40%
"Total"	"1999"	"1999"	"Nov., 1999"	"1999/11"			192085	Not Applicable	Not Applicable	0.43%
	"1999"	"1999"	"Dec., 1999"	"1999/12"	"Unintentional"	"1"	8486	Not Applicable	Not Applicable	0.02%
	"1999"	"1999"	"Dec., 1999"	"1999/12"	"Suicide"	"2"	2236	Not Applicable	Not Applicable	0.00%
	"1999"	"1999"	"Dec., 1999"	"1999/12"	"Homicide"	"3"	1476	Not Applicable	Not Applicable	0.00%
	"1999"	"1999"	"Dec., 1999"	"1999/12"	"Undetermined "	"4"	340	Not Applicable	Not Applicable	0.00%
	"1999"	"1999"	"Dec., 1999"	"1999/12"	"Legal Intervention / Operations of War"	"5"	34	Not Applicable	Not Applicable	0.00%
	"1999"	"1999"	"Dec., 1999"	"1999/12"	"Non-Injury, no intent classified"	"9"	210209	Not Applicable	Not Applicable	0.47%
"Total"	"1999"	"1999"	"Dec., 1999"	"1999/12"			222781	Not Applicable	Not Applicable	0.50%
"Total"	"1999"	"1999"					2391399	Not Applicable	Not Applicable	5.32%
	"2000"	"2000"	"Jan., 2000"	"2000/01"	"Unintentional"	"1"	8387	Not Applicable	Not Applicable	0.02%
	"2000"	"2000"	"Jan., 2000"	"2000/01"	"Suicide"	"2"	2592	Not Applicable	Not Applicable	0.01%
	"2000"	"2000"	"Jan., 2000"	"2000/01"	"Homicide"	"3"	1397	Not Applicable	Not Applicable	0.00%
	"2000"	"2000"	"Jan., 2000"	"2000/01"	"Undetermined "	"4"	349	Not Applicable	Not Applicable	0.00%
	"2000"	"2000"	"Jan., 2000"	"2000/01"	"Legal Intervention / Operations of War"	"5"	44	Not Applicable	Not Applicable	0.00%
	"2000"	"2000"	"Jan., 2000"	"2000/01"	"Non-Injury, no intent classified"	"9"	235059	Not Applicable	Not Applicable	0.52%
"Total"	"2000"	"2000"	"Jan., 2000"	"2000/01"			247828	Not Applicable	Not Applicable	0.55%
	"2000"	"2000"	"Feb., 2000"	"2000/02"	"Unintentional"	"1"	7175	Not Applicable	Not Applicable	0.02%
	"2000"	"2000"	"Feb., 2000"	"2000/02"	"Suicide"	"2"	2338	Not Applicable	Not Applicable	0.01%
	"2000"	"2000"	"Feb., 2000"	"2000/02"	"Homicide"	"3"	1261	Not Applicable	Not Applicable	0.00%
	"2000"	"2000"	"Feb., 2000"	"2000/02"	"Undetermined "	"4"	297	Not Applicable	Not Applicable	0.00%
	"2000"	"2000"	"Feb., 2000"	"2000/02"	"Legal Intervention / Operations of War"	"5"	28	Not Applicable	Not Applicable	0.00%
	"2000"	"2000"	"Feb., 2000"	"2000/02"	"Non-Injury, no intent classified"	"9"	192219	Not Applicable	Not Applicable	0.43%
"Total"	"2000"	"2000"	"Feb., 2000"	"2000/02"			203318	Not Applicable	Not Applicable	0.45%
	"2000"	"2000"	"Mar., 2000"	"2000/03"	"Unintentional"	"1"	7548	Not Applicable	Not Applicable	0.02%
	"2000"	"2000"	"Mar., 2000"	"2000/03"	"Suicide"	"2"	2520	Not Applicable	Not Applicable	0.01%
	"2000"	"2000"	"Mar., 2000"	"2000/03"	"Homicide"	"3"	1318	Not Applicable	Not Applicable	0.00%
	"2000"	"2000"	"Mar., 2000"	"2000/03"	"Undetermined "	"4"	338	Not Applicable	Not Applicable	0.00%
	"2000"	"2000"	"Mar., 2000"	"2000/03"	"Legal Intervention / Operations of War"	"5"	25	Not Applicable	Not Applicable	0.00%
	"2000"	"2000"	"Mar., 2000"	"2000/03"	"Non-Injury, no intent classified"	"9"	190087	Not Applicable	Not Applicable	0.42%
"Total"	"2000"	"2000"	"Mar., 2000"	"2000/03"			201836	Not Applicable	Not Applicable	0.45%
	"2000"	"2000"	"Apr., 2000"	"2000/04"	"Unintentional"	"1"	7836	Not Applicable	Not Applicable	0.02%
	"2000"	"2000"	"Apr., 2000"	"2000/04"	"Suicide"	"2"	2483	Not Applicable	Not Applicable	0.01%
	"2000"	"2000"	"Apr., 2000"	"2000/04"	"Homicide"	"3"	1278	Not Applicable	Not Applicable	0.00%
	"2000"	"2000"	"Apr., 2000"	"2000/04"	"Undetermined "	"4"	336	Not Applicable	Not Applicable	0.00%
	"2000"	"2000"	"Apr., 2000"	"2000/04"	"Legal Intervention / Operations of War"	"5"	27	Not Applicable	Not Applicable	0.00%
	"2000"	"2000"	"Apr., 2000"	"2000/04"	"Non-Injury, no intent classified"	"9"	178466	Not Applicable	Not Applicable	0.40%
"Total"	"2000"	"2000"	"Apr., 2000"	"2000/04"			190426	Not Applicable	Not Applicable	0.42%
	"2000"	"2000"	"May, 2000"	"2000/05"	"Unintentional"	"1"	8386	Not Applicable	Not Applicable	0.02%
	"2000"	"2000"	"May, 2000"	"2000/05"	"Suicide"	"2"	2622	Not Applicable	Not Applicable	0.01%
	"2000"	"2000"	"May, 2000"	"2000/05"	"Homicide"	"3"	1461	Not Applicable	Not Applicable	0.00%
	"2000"	"2000"	"May, 2000"	"2000/05"	"Undetermined "	"4"	356	Not Applicable	Not Applicable	0.00%
	"2000"	"2000"	"May, 2000"	"2000/05"	"Legal Intervention / Operations of War"	"5"	31	Not Applicable	Not Applicable	0.00%
	"2000"	"2000"	"May, 2000"	"2000/05"	"Non-Injury, no intent classified"	"9"	180255	Not Applicable	Not Applicable	0.40%
"Total"	"2000"	"2000"	"May, 2000"	"2000/05"			193111	Not Applicable	Not Applicable	0.43%
	"2000"	"2000"	"Jun., 2000"	"2000/06"	"Unintentional"	"1"	8323	Not Applicable	Not Applicable	0.02%
	"2000"	"2000"	"Jun., 2000"	"2000/06"	"Suicide"	"2"	2445	Not Applicable	Not Applicable	0.01%
	"2000"	"2000"	"Jun., 2000"	"2000/06"	"Homicide"	"3"	1460	Not Applicable	Not Applicable	0.00%
	"2000"	"2000"	"Jun., 2000"	"2000/06"	"Undetermined "	"4"	320	Not Applicable	Not Applicable	0.00%
	"2000"	"2000"	"Jun., 2000"	"2000/06"	"Legal Intervention / Operations of War"	"5"	27	Not Applicable	Not Applicable	0.00%
	"2000"	"2000"	"Jun., 2000"	"2000/06"	"Non-Injury, no intent classified"	"9"	170547	Not Applicable	Not Applicable	0.38%
"Total"	"2000"	"2000"	"Jun., 2000"	"2000/06"			183122	Not Applicable	Not Applicable	0.41%
	"2000"	"2000"	"Jul., 2000"	"2000/07"	"Unintentional"	"1"	9055	Not Applicable	Not Applicable	0.02%
	"2000"	"2000"	"Jul., 2000"	"2000/07"	"Suicide"	"2"	2482	Not Applicable	Not Applicable	0.01%
	"2000"	"2000"	"Jul., 2000"	"2000/07"	"Homicide"	"3"	1555	Not Applicable	Not Applicable	0.00%
	"2000"	"2000"	"Jul., 2000"	"2000/07"	"Undetermined "	"4"	332	Not Applicable	Not Applicable	0.00%
	"2000"	"2000"	"Jul., 2000"	"2000/07"	"Legal Intervention / Operations of War"	"5"	45	Not Applicable	Not Applicable	0.00%
	"2000"	"2000"	"Jul., 2000"	"2000/07"	"Non-Injury, no intent classified"	"9"	175101	Not Applicable	Not Applicable	0.39%
"Total"	"2000"	"2000"	"Jul., 2000"	"2000/07"			188570	Not Applicable	Not Applicable	0.42%
	"2000"	"2000"	"Aug., 2000"	"2000/08"	"Unintentional"	"1"	8662	Not Applicable	Not Applicable	0.02%
	"2000"	"2000"	"Aug., 2000"	"2000/08"	"Suicide"	"2"	2556	Not Applicable	Not Applicable	0.01%
	"2000"	"2000"	"Aug., 2000"	"2000/08"	"Homicide"	"3"	1510	Not Applicable	Not Applicable	0.00%
	"2000"	"2000"	"Aug., 2000"	"2000/08"	"Undetermined "	"4"	341	Not Applicable	Not Applicable	0.00%
	"2000"	"2000"	"Aug., 2000"	"2000/08"	"Legal Intervention / Operations of War"	"5"	33	Not Applicable	Not Applicable	0.00%
	"2000"	"2000"	"Aug., 2000"	"2000/08"	"Non-Injury, no intent classified"	"9"	175586	Not Applicable	Not Applicable	0.39%
"Total"	"2000"	"2000"	"Aug., 2000"	"2000/08"			188688	Not Applicable	Not Applicable	0.42%
	"2000"	"2000"	"Sep., 2000"	"2000/09"	"Unintentional"	"1"	8086	Not Applicable	Not Applicable	0.02%
	"2000"	"2000"	"Sep., 2000"	"2000/09"	"Suicide"	"2"	2336	Not Applicable	Not Applicable	0.01%
	"2000"	"2000"	"Sep., 2000"	"2000/09"	"Homicide"	"3"	1425	Not Applicable	Not Applicable	0.00%
	"2000"	"2000"	"Sep., 2000"	"2000/09"	"Undetermined "	"4"	294	Not Applicable	Not Applicable	0.00%
	"2000"	"2000"	"Sep., 2000"	"2000/09"	"Legal Intervention / Operations of War"	"5"	32	Not Applicable	Not Applicable	0.00%
	"2000"	"2000"	"Sep., 2000"	"2000/09"	"Non-Injury, no intent classified"	"9"	174789	Not Applicable	Not Applicable	0.39%
"Total"	"2000"	"2000"	"Sep., 2000"	"2000/09"			186962	Not Applicable	Not Applicable	0.42%
	"2000"	"2000"	"Oct., 2000"	"2000/10"	"Unintentional"	"1"	8131	Not Applicable	Not Applicable	0.02%
	"2000"	"2000"	"Oct., 2000"	"2000/10"	"Suicide"	"2"	2480	Not Applicable	Not Applicable	0.01%
	"2000"	"2000"	"Oct., 2000"	"2000/10"	"Homicide"	"3"	1424	Not Applicable	Not Applicable	0.00%
	"2000"	"2000"	"Oct., 2000"	"2000/10"	"Undetermined "	"4"	298	Not Applicable	Not Applicable	0.00%
	"2000"	"2000"	"Oct., 2000"	"2000/10"	"Legal Intervention / Operations of War"	"5"	27	Not Applicable	Not Applicable	0.00%
	"2000"	"2000"	"Oct., 2000"	"2000/10"	"Non-Injury, no intent classified"	"9"	187465	Not Applicable	Not Applicable	0.42%
"Total"	"2000"	"2000"	"Oct., 2000"	"2000/10"			199825	Not Applicable	Not Applicable	0.44%
	"2000"	"2000"	"Nov., 2000"	"2000/11"	"Unintentional"	"1"	7752	Not Applicable	Not Applicable	0.02%
	"2000"	"2000"	"Nov., 2000"	"2000/11"	"Suicide"	"2"	2273	Not Applicable	Not Applicable	0.01%
	"2000"	"2000"	"Nov., 2000"	"2000/11"	"Homicide"	"3"	1258	Not Applicable	Not Applicable	0.00%
	"2000"	"2000"	"Nov., 2000"	"2000/11"	"Undetermined "	"4"	271	Not Applicable	Not Applicable	0.00%
	"2000"	"2000"	"Nov., 2000"	"2000/11"	"Legal Intervention / Operations of War"	"5"	32	Not Applicable	Not Applicable	0.00%
	"2000"	"2000"	"Nov., 2000"	"2000/11"	"Non-Injury, no intent classified"	"9"	187708	Not Applicable	Not Applicable	0.42%
"Total"	"2000"	"2000"	"Nov., 2000"	"2000/11"			199294	Not Applicable	Not Applicable	0.44%
	"2000"	"2000"	"Dec., 2000"	"2000/12"	"Unintentional"	"1"	8559	Not Applicable	Not Applicable	0.02%
	"2000"	"2000"	"Dec., 2000"	"2000/12"	"Suicide"	"2"	2223	Not Applicable	Not Applicable	0.00%
	"2000"	"2000"	"Dec., 2000"	"2000/12"	"Homicide"	"3"	1418	Not Applicable	Not Applicable	0.00%
	"2000"	"2000"	"Dec., 2000"	"2000/12"	"Undetermined "	"4"	287	Not Applicable	Not Applicable	0.00%
	"2000"	"2000"	"Dec., 2000"	"2000/12"	"Legal Intervention / Operations of War"	"5"	24	Not Applicable	Not Applicable	0.00%
	"2000"	"2000"	"Dec., 2000"	"2000/12"	"Non-Injury, no intent classified"	"9"	207860	Not Applicable	Not Applicable	0.46%
"Total"	"2000"	"2000"	"Dec., 2000"	"2000/12"			220371	Not Applicable	Not Applicable	0.49%
"Total"	"2000"	"2000"					2403351	Not Applicable	Not Applicable	5.35%
	"2001"	"2001"	"Jan., 2001"	"2001/01"	"Unintentional"	"1"	8079	Not Applicable	Not Applicable	0.02%
	"2001"	"2001"	"Jan., 2001"	"2001/01"	"Suicide"	"2"	2510	Not Applicable	Not Applicable	0.01%
	"2001"	"2001"	"Jan., 2001"	"2001/01"	"Homicide"	"3"	1417	Not Applicable	Not Applicable	0.00%
	"2001"	"2001"	"Jan., 2001"	"2001/01"	"Undetermined "	"4"	330	Not Applicable	Not Applicable	0.00%
	"2001"	"2001"	"Jan., 2001"	"2001/01"	"Legal Intervention / Operations of War"	"5"	42	Not Applicable	Not Applicable	0.00%
	"2001"	"2001"	"Jan., 2001"	"2001/01"	"Non-Injury, no intent classified"	"9"	214259	Not Applicable	Not Applicable	0.48%
"Total"	"2001"	"2001"	"Jan., 2001"	"2001/01"			226637	Not Applicable	Not Applicable	0.50%
	"2001"	"2001"	"Feb., 2001"	"2001/02"	"Unintentional"	"1"	7330	Not Applicable	Not Applicable	0.02%
	"2001"	"2001"	"Feb., 2001"	"2001/02"	"Suicide"	"2"	2328	Not Applicable	Not Applicable	0.01%
	"2001"	"2001"	"Feb., 2001"	"2001/02"	"Homicide"	"3"	1133	Not Applicable	Not Applicable	0.00%
	"2001"	"2001"	"Feb., 2001"	"2001/02"	"Undetermined "	"4"	312	Not Applicable	Not Applicable	0.00%
	"2001"	"2001"	"Feb., 2001"	"2001/02"	"Legal Intervention / Operations of War"	"5"	27	Not Applicable	Not Applicable	0.00%
