"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Perc Total Deaths
	"2001"	"2001"	"Jan., 2001"	"2001/01"	"Suicide"	"2"	2510	0.42%
	"2001"	"2001"	"Feb., 2001"	"2001/02"	"Suicide"	"2"	2328	0.39%
	"2001"	"2001"	"Mar., 2001"	"2001/03"	"Suicide"	"2"	2546	0.43%
	"2001"	"2001"	"Apr., 2001"	"2001/04"	"Suicide"	"2"	2599	0.44%
	"2001"	"2001"	"May, 2001"	"2001/05"	"Suicide"	"2"	2747	0.46%
	"2001"	"2001"	"Jun., 2001"	"2001/06"	"Suicide"	"2"	2560	0.43%
	"2001"	"2001"	"Jul., 2001"	"2001/07"	"Suicide"	"2"	2746	0.46%
	"2001"	"2001"	"Aug., 2001"	"2001/08"	"Suicide"	"2"	2674	0.45%
	"2001"	"2001"	"Sep., 2001"	"2001/09"	"Suicide"	"2"	2407	0.41%
	"2001"	"2001"	"Oct., 2001"	"2001/10"	"Suicide"	"2"	2589	0.44%
	"2001"	"2001"	"Nov., 2001"	"2001/11"	"Suicide"	"2"	2513	0.43%
	"2001"	"2001"	"Dec., 2001"	"2001/12"	"Suicide"	"2"	2403	0.41%
	"2002"	"2002"	"Jan., 2002"	"2002/01"	"Suicide"	"2"	2760	0.47%
	"2002"	"2002"	"Feb., 2002"	"2002/02"	"Suicide"	"2"	2418	0.41%
	"2002"	"2002"	"Mar., 2002"	"2002/03"	"Suicide"	"2"	2611	0.44%
	"2002"	"2002"	"Apr., 2002"	"2002/04"	"Suicide"	"2"	2754	0.47%
	"2002"	"2002"	"May, 2002"	"2002/05"	"Suicide"	"2"	2775	0.47%
	"2002"	"2002"	"Jun., 2002"	"2002/06"	"Suicide"	"2"	2588	0.44%
	"2002"	"2002"	"Jul., 2002"	"2002/07"	"Suicide"	"2"	2813	0.48%
	"2002"	"2002"	"Aug., 2002"	"2002/08"	"Suicide"	"2"	2791	0.47%
	"2002"	"2002"	"Sep., 2002"	"2002/09"	"Suicide"	"2"	2648	0.45%
	"2002"	"2002"	"Oct., 2002"	"2002/10"	"Suicide"	"2"	2589	0.44%
	"2002"	"2002"	"Nov., 2002"	"2002/11"	"Suicide"	"2"	2481	0.42%
	"2002"	"2002"	"Dec., 2002"	"2002/12"	"Suicide"	"2"	2427	0.41%
	"2003"	"2003"	"Jan., 2003"	"2003/01"	"Suicide"	"2"	2692	0.46%
	"2003"	"2003"	"Feb., 2003"	"2003/02"	"Suicide"	"2"	2302	0.39%
	"2003"	"2003"	"Mar., 2003"	"2003/03"	"Suicide"	"2"	2773	0.47%
	"2003"	"2003"	"Apr., 2003"	"2003/04"	"Suicide"	"2"	2637	0.45%
	"2003"	"2003"	"May, 2003"	"2003/05"	"Suicide"	"2"	2785	0.47%
	"2003"	"2003"	"Jun., 2003"	"2003/06"	"Suicide"	"2"	2803	0.47%
	"2003"	"2003"	"Jul., 2003"	"2003/07"	"Suicide"	"2"	2767	0.47%
	"2003"	"2003"	"Aug., 2003"	"2003/08"	"Suicide"	"2"	2693	0.46%
	"2003"	"2003"	"Sep., 2003"	"2003/09"	"Suicide"	"2"	2559	0.43%
	"2003"	"2003"	"Oct., 2003"	"2003/10"	"Suicide"	"2"	2564	0.43%
	"2003"	"2003"	"Nov., 2003"	"2003/11"	"Suicide"	"2"	2499	0.42%
	"2003"	"2003"	"Dec., 2003"	"2003/12"	"Suicide"	"2"	2410	0.41%
	"2004"	"2004"	"Jan., 2004"	"2004/01"	"Suicide"	"2"	2624	0.44%
	"2004"	"2004"	"Feb., 2004"	"2004/02"	"Suicide"	"2"	2509	0.42%
	"2004"	"2004"	"Mar., 2004"	"2004/03"	"Suicide"	"2"	2845	0.48%
	"2004"	"2004"	"Apr., 2004"	"2004/04"	"Suicide"	"2"	2718	0.46%
	"2004"	"2004"	"May, 2004"	"2004/05"	"Suicide"	"2"	2771	0.47%
	"2004"	"2004"	"Jun., 2004"	"2004/06"	"Suicide"	"2"	2722	0.46%
	"2004"	"2004"	"Jul., 2004"	"2004/07"	"Suicide"	"2"	2911	0.49%
	"2004"	"2004"	"Aug., 2004"	"2004/08"	"Suicide"	"2"	2743	0.46%
	"2004"	"2004"	"Sep., 2004"	"2004/09"	"Suicide"	"2"	2715	0.46%
	"2004"	"2004"	"Oct., 2004"	"2004/10"	"Suicide"	"2"	2772	0.47%
	"2004"	"2004"	"Nov., 2004"	"2004/11"	"Suicide"	"2"	2642	0.45%
	"2004"	"2004"	"Dec., 2004"	"2004/12"	"Suicide"	"2"	2467	0.42%
	"2005"	"2005"	"Jan., 2005"	"2005/01"	"Suicide"	"2"	2703	0.46%
	"2005"	"2005"	"Feb., 2005"	"2005/02"	"Suicide"	"2"	2454	0.42%
	"2005"	"2005"	"Mar., 2005"	"2005/03"	"Suicide"	"2"	2826	0.48%
	"2005"	"2005"	"Apr., 2005"	"2005/04"	"Suicide"	"2"	2804	0.47%
	"2005"	"2005"	"May, 2005"	"2005/05"	"Suicide"	"2"	2896	0.49%
	"2005"	"2005"	"Jun., 2005"	"2005/06"	"Suicide"	"2"	2763	0.47%
	"2005"	"2005"	"Jul., 2005"	"2005/07"	"Suicide"	"2"	2833	0.48%
	"2005"	"2005"	"Aug., 2005"	"2005/08"	"Suicide"	"2"	2752	0.47%
	"2005"	"2005"	"Sep., 2005"	"2005/09"	"Suicide"	"2"	2770	0.47%
	"2005"	"2005"	"Oct., 2005"	"2005/10"	"Suicide"	"2"	2718	0.46%
	"2005"	"2005"	"Nov., 2005"	"2005/11"	"Suicide"	"2"	2572	0.43%
	"2005"	"2005"	"Dec., 2005"	"2005/12"	"Suicide"	"2"	2546	0.43%
	"2006"	"2006"	"Jan., 2006"	"2006/01"	"Suicide"	"2"	2730	0.46%
	"2006"	"2006"	"Feb., 2006"	"2006/02"	"Suicide"	"2"	2424	0.41%
	"2006"	"2006"	"Mar., 2006"	"2006/03"	"Suicide"	"2"	2763	0.47%
	"2006"	"2006"	"Apr., 2006"	"2006/04"	"Suicide"	"2"	2844	0.48%
	"2006"	"2006"	"May, 2006"	"2006/05"	"Suicide"	"2"	2952	0.50%
	"2006"	"2006"	"Jun., 2006"	"2006/06"	"Suicide"	"2"	2875	0.49%
	"2006"	"2006"	"Jul., 2006"	"2006/07"	"Suicide"	"2"	2984	0.50%
	"2006"	"2006"	"Aug., 2006"	"2006/08"	"Suicide"	"2"	2810	0.48%
	"2006"	"2006"	"Sep., 2006"	"2006/09"	"Suicide"	"2"	2724	0.46%
	"2006"	"2006"	"Oct., 2006"	"2006/10"	"Suicide"	"2"	2866	0.48%
	"2006"	"2006"	"Nov., 2006"	"2006/11"	"Suicide"	"2"	2697	0.46%
	"2006"	"2006"	"Dec., 2006"	"2006/12"	"Suicide"	"2"	2631	0.44%
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Suicide"	"2"	2841	0.48%
