"Notes"	"Year"	"Year Code"	"Gender"	"Gender Code"	"Injury Intent"	"Injury Intent Code"	"Injury Mechanism & All Other Leading Causes"	"Injury Mechanism & All Other Leading Causes Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	% of Total Deaths
	"1999"	"1999"	"Female"	"F"	"Suicide"	"2"	"Cut/Pierce"	"GRINJ-001"	76	142237295	0.05	0.04	0.07	0.05	0.04	0.07	0.01%
	"1999"	"1999"	"Female"	"F"	"Suicide"	"2"	"Drowning"	"GRINJ-002"	110	142237295	0.08	0.06	0.09	0.07	0.06	0.09	0.02%
	"1999"	"1999"	"Female"	"F"	"Suicide"	"2"	"Fall"	"GRINJ-003"	189	142237295	0.13	0.11	0.15	0.13	0.11	0.15	0.03%
	"1999"	"1999"	"Female"	"F"	"Suicide"	"2"	"Fire/Flame"	"GRINJ-004"	57	142237295	0.04	0.03	0.05	0.04	0.03	0.05	0.01%
	"1999"	"1999"	"Female"	"F"	"Suicide"	"2"	"Firearm"	"GRINJ-006"	2120	142237295	1.49	1.43	1.55	1.48	1.42	1.55	0.33%
	"1999"	"1999"	"Female"	"F"	"Suicide"	"2"	"Other land transport"	"GRINJ-011"	28	142237295	0.02	0.01	0.03	0.02	0.01	0.03	0.00%
	"1999"	"1999"	"Female"	"F"	"Suicide"	"2"	"Poisoning"	"GRINJ-015"	2066	142237295	1.45	1.39	1.52	1.45	1.39	1.51	0.32%
	"1999"	"1999"	"Female"	"F"	"Suicide"	"2"	"Suffocation"	"GRINJ-017"	937	142237295	0.66	0.62	0.70	0.65	0.61	0.69	0.14%
	"1999"	"1999"	"Female"	"F"	"Suicide"	"2"	"Other specified, classifiable Injury"	"GRINJ-018"	74	142237295	0.05	0.04	0.07	0.05	0.04	0.07	0.01%
	"1999"	"1999"	"Female"	"F"	"Suicide"	"2"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	58	142237295	0.04	0.03	0.05	0.04	0.03	0.05	0.01%
	"1999"	"1999"	"Female"	"F"	"Suicide"	"2"	"Unspecified Injury"	"GRINJ-020"	26	142237295	0.02	0.01	0.03	0.02	0.01	0.03	0.00%
"Total"	"1999"	"1999"	"Female"	"F"	"Suicide"	"2"			5741	142237295	4.04	3.93	4.14	4.00	3.90	4.11	0.88%
"Total"	"1999"	"1999"	"Female"	"F"					5741	142237295	4.04	3.93	4.14	4.00	3.90	4.11	0.88%
	"1999"	"1999"	"Male"	"M"	"Suicide"	"2"	"Cut/Pierce"	"GRINJ-001"	328	136802873	0.24	0.21	0.27	0.25	0.22	0.28	0.05%
	"1999"	"1999"	"Male"	"M"	"Suicide"	"2"	"Drowning"	"GRINJ-002"	201	136802873	0.15	0.13	0.17	0.15	0.13	0.18	0.03%
	"1999"	"1999"	"Male"	"M"	"Suicide"	"2"	"Fall"	"GRINJ-003"	504	136802873	0.37	0.34	0.40	0.38	0.34	0.41	0.08%
	"1999"	"1999"	"Male"	"M"	"Suicide"	"2"	"Fire/Flame"	"GRINJ-004"	114	136802873	0.08	0.07	0.10	0.08	0.07	0.10	0.02%
	"1999"	"1999"	"Male"	"M"	"Suicide"	"2"	"Firearm"	"GRINJ-006"	14479	136802873	10.58	10.41	10.76	11.15	10.97	11.33	2.23%
	"1999"	"1999"	"Male"	"M"	"Suicide"	"2"	"Other land transport"	"GRINJ-011"	59	136802873	0.04	0.03	0.06	0.04	0.03	0.06	0.01%
	"1999"	"1999"	"Male"	"M"	"Suicide"	"2"	"Poisoning"	"GRINJ-015"	2827	136802873	2.07	1.99	2.14	2.12	2.04	2.19	0.44%
	"1999"	"1999"	"Male"	"M"	"Suicide"	"2"	"Struck by or against"	"GRINJ-016"	3	136802873	0.00 (Unreliable)	0.00	0.01	0.00 (Unreliable)	0.00	0.01	0.00%
	"1999"	"1999"	"Male"	"M"	"Suicide"	"2"	"Suffocation"	"GRINJ-017"	4490	136802873	3.28	3.19	3.38	3.28	3.19	3.38	0.69%
	"1999"	"1999"	"Male"	"M"	"Suicide"	"2"	"Other specified, classifiable Injury"	"GRINJ-018"	206	136802873	0.15	0.13	0.17	0.15	0.13	0.17	0.03%
	"1999"	"1999"	"Male"	"M"	"Suicide"	"2"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	157	136802873	0.11	0.10	0.13	0.12	0.10	0.14	0.02%
	"1999"	"1999"	"Male"	"M"	"Suicide"	"2"	"Unspecified Injury"	"GRINJ-020"	90	136802873	0.07	0.05	0.08	0.07	0.05	0.08	0.01%
"Total"	"1999"	"1999"	"Male"	"M"	"Suicide"	"2"			23458	136802873	17.15	16.93	17.37	17.79	17.56	18.03	3.61%
"Total"	"1999"	"1999"	"Male"	"M"					23458	136802873	17.15	16.93	17.37	17.79	17.56	18.03	3.61%
"Total"	"1999"	"1999"							29199	279040168	10.46	10.34	10.58	10.47	10.35	10.59	4.49%
	"2000"	"2000"	"Female"	"F"	"Suicide"	"2"	"Cut/Pierce"	"GRINJ-001"	79	143368343	0.06	0.04	0.07	0.05	0.04	0.07	0.01%
	"2000"	"2000"	"Female"	"F"	"Suicide"	"2"	"Drowning"	"GRINJ-002"	114	143368343	0.08	0.06	0.09	0.08	0.06	0.09	0.02%
	"2000"	"2000"	"Female"	"F"	"Suicide"	"2"	"Fall"	"GRINJ-003"	175	143368343	0.12	0.10	0.14	0.12	0.10	0.14	0.03%
	"2000"	"2000"	"Female"	"F"	"Suicide"	"2"	"Fire/Flame"	"GRINJ-004"	41	143368343	0.03	0.02	0.04	0.03	0.02	0.04	0.01%
	"2000"	"2000"	"Female"	"F"	"Suicide"	"2"	"Firearm"	"GRINJ-006"	2132	143368343	1.49	1.42	1.55	1.48	1.41	1.54	0.33%
	"2000"	"2000"	"Female"	"F"	"Suicide"	"2"	"Other land transport"	"GRINJ-011"	28	143368343	0.02	0.01	0.03	0.02	0.01	0.03	0.00%
	"2000"	"2000"	"Female"	"F"	"Suicide"	"2"	"Poisoning"	"GRINJ-015"	2067	143368343	1.44	1.38	1.50	1.44	1.37	1.50	0.32%
	"2000"	"2000"	"Female"	"F"	"Suicide"	"2"	"Struck by or against"	"GRINJ-016"	2	143368343	0.00 (Unreliable)	0.00	0.01	0.00 (Unreliable)	0.00	0.00	0.00%
	"2000"	"2000"	"Female"	"F"	"Suicide"	"2"	"Suffocation"	"GRINJ-017"	955	143368343	0.67	0.62	0.71	0.66	0.62	0.70	0.15%
	"2000"	"2000"	"Female"	"F"	"Suicide"	"2"	"Other specified, classifiable Injury"	"GRINJ-018"	58	143368343	0.04	0.03	0.05	0.04	0.03	0.05	0.01%
	"2000"	"2000"	"Female"	"F"	"Suicide"	"2"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	53	143368343	0.04	0.03	0.05	0.04	0.03	0.05	0.01%
	"2000"	"2000"	"Female"	"F"	"Suicide"	"2"	"Unspecified Injury"	"GRINJ-020"	28	143368343	0.02	0.01	0.03	0.02	0.01	0.03	0.00%
"Total"	"2000"	"2000"	"Female"	"F"	"Suicide"	"2"			5732	143368343	4.00	3.89	4.10	3.97	3.86	4.07	0.88%
"Total"	"2000"	"2000"	"Female"	"F"					5732	143368343	4.00	3.89	4.10	3.97	3.86	4.07	0.88%
	"2000"	"2000"	"Male"	"M"	"Suicide"	"2"	"Cut/Pierce"	"GRINJ-001"	304	138053563	0.22	0.20	0.24	0.23	0.20	0.25	0.05%
	"2000"	"2000"	"Male"	"M"	"Suicide"	"2"	"Drowning"	"GRINJ-002"	207	138053563	0.15	0.13	0.17	0.16	0.14	0.18	0.03%
	"2000"	"2000"	"Male"	"M"	"Suicide"	"2"	"Fall"	"GRINJ-003"	432	138053563	0.31	0.28	0.34	0.32	0.29	0.35	0.07%
	"2000"	"2000"	"Male"	"M"	"Suicide"	"2"	"Fire/Flame"	"GRINJ-004"	121	138053563	0.09	0.07	0.10	0.09	0.07	0.10	0.02%
	"2000"	"2000"	"Male"	"M"	"Suicide"	"2"	"Firearm"	"GRINJ-006"	14454	138053563	10.47	10.30	10.64	11.02	10.84	11.20	2.22%
	"2000"	"2000"	"Male"	"M"	"Suicide"	"2"	"Other land transport"	"GRINJ-011"	75	138053563	0.05	0.04	0.07	0.05	0.04	0.07	0.01%
	"2000"	"2000"	"Male"	"M"	"Suicide"	"2"	"Poisoning"	"GRINJ-015"	2792	138053563	2.02	1.95	2.10	2.06	1.98	2.13	0.43%
	"2000"	"2000"	"Male"	"M"	"Suicide"	"2"	"Suffocation"	"GRINJ-017"	4733	138053563	3.43	3.33	3.53	3.44	3.34	3.53	0.73%
	"2000"	"2000"	"Male"	"M"	"Suicide"	"2"	"Other specified, classifiable Injury"	"GRINJ-018"	220	138053563	0.16	0.14	0.18	0.16	0.14	0.18	0.03%
	"2000"	"2000"	"Male"	"M"	"Suicide"	"2"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	163	138053563	0.12	0.10	0.14	0.12	0.11	0.14	0.03%
	"2000"	"2000"	"Male"	"M"	"Suicide"	"2"	"Unspecified Injury"	"GRINJ-020"	117	138053563	0.08	0.07	0.10	0.09	0.07	0.10	0.02%
"Total"	"2000"	"2000"	"Male"	"M"	"Suicide"	"2"			23618	138053563	17.11	16.89	17.33	17.74	17.51	17.97	3.63%
"Total"	"2000"	"2000"	"Male"	"M"					23618	138053563	17.11	16.89	17.33	17.74	17.51	17.97	3.63%
"Total"	"2000"	"2000"							29350	281421906	10.43	10.31	10.55	10.44	10.32	10.56	4.52%
	"2001"	"2001"	"Female"	"F"	"Suicide"	"2"	"Cut/Pierce"	"GRINJ-001"	79	145077463	0.05	0.04	0.07	0.05	0.04	0.07	0.01%
	"2001"	"2001"	"Female"	"F"	"Suicide"	"2"	"Drowning"	"GRINJ-002"	128	145077463	0.09	0.07	0.10	0.09	0.07	0.10	0.02%
	"2001"	"2001"	"Female"	"F"	"Suicide"	"2"	"Fall"	"GRINJ-003"	208	145077463	0.14	0.12	0.16	0.14	0.12	0.16	0.03%
	"2001"	"2001"	"Female"	"F"	"Suicide"	"2"	"Fire/Flame"	"GRINJ-004"	46	145077463	0.03	0.02	0.04	0.03	0.02	0.04	0.01%
	"2001"	"2001"	"Female"	"F"	"Suicide"	"2"	"Firearm"	"GRINJ-006"	2111	145077463	1.46	1.39	1.52	1.44	1.38	1.50	0.32%
	"2001"	"2001"	"Female"	"F"	"Suicide"	"2"	"Other land transport"	"GRINJ-011"	27	145077463	0.02	0.01	0.03	0.02	0.01	0.03	0.00%
	"2001"	"2001"	"Female"	"F"	"Suicide"	"2"	"Poisoning"	"GRINJ-015"	2219	145077463	1.53	1.47	1.59	1.52	1.45	1.58	0.34%
	"2001"	"2001"	"Female"	"F"	"Suicide"	"2"	"Suffocation"	"GRINJ-017"	988	145077463	0.68	0.64	0.72	0.68	0.63	0.72	0.15%
