"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	% of Total Deaths
	"2001"	"2001"	"Jan., 2001"	"2001/01"	"Suicide"	"2"	2510	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.42%
	"2001"	"2001"	"Feb., 2001"	"2001/02"	"Suicide"	"2"	2328	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.39%
	"2001"	"2001"	"Mar., 2001"	"2001/03"	"Suicide"	"2"	2546	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.43%
	"2001"	"2001"	"Apr., 2001"	"2001/04"	"Suicide"	"2"	2599	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.44%
	"2001"	"2001"	"May, 2001"	"2001/05"	"Suicide"	"2"	2747	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.46%
	"2001"	"2001"	"Jun., 2001"	"2001/06"	"Suicide"	"2"	2560	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.43%
	"2001"	"2001"	"Jul., 2001"	"2001/07"	"Suicide"	"2"	2746	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.46%
	"2001"	"2001"	"Aug., 2001"	"2001/08"	"Suicide"	"2"	2674	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.45%
	"2001"	"2001"	"Sep., 2001"	"2001/09"	"Suicide"	"2"	2407	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.41%
	"2001"	"2001"	"Oct., 2001"	"2001/10"	"Suicide"	"2"	2589	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.44%
	"2001"	"2001"	"Nov., 2001"	"2001/11"	"Suicide"	"2"	2513	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.43%
	"2001"	"2001"	"Dec., 2001"	"2001/12"	"Suicide"	"2"	2403	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.41%
	"2002"	"2002"	"Jan., 2002"	"2002/01"	"Suicide"	"2"	2760	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.47%
	"2002"	"2002"	"Feb., 2002"	"2002/02"	"Suicide"	"2"	2418	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.41%
	"2002"	"2002"	"Mar., 2002"	"2002/03"	"Suicide"	"2"	2611	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.44%
	"2002"	"2002"	"Apr., 2002"	"2002/04"	"Suicide"	"2"	2754	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.47%
	"2002"	"2002"	"May, 2002"	"2002/05"	"Suicide"	"2"	2775	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.47%
	"2002"	"2002"	"Jun., 2002"	"2002/06"	"Suicide"	"2"	2588	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.44%
	"2002"	"2002"	"Jul., 2002"	"2002/07"	"Suicide"	"2"	2813	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.48%
	"2002"	"2002"	"Aug., 2002"	"2002/08"	"Suicide"	"2"	2791	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.47%
	"2002"	"2002"	"Sep., 2002"	"2002/09"	"Suicide"	"2"	2648	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.45%
	"2002"	"2002"	"Oct., 2002"	"2002/10"	"Suicide"	"2"	2589	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.44%
	"2002"	"2002"	"Nov., 2002"	"2002/11"	"Suicide"	"2"	2481	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.42%
	"2002"	"2002"	"Dec., 2002"	"2002/12"	"Suicide"	"2"	2427	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.41%
	"2003"	"2003"	"Jan., 2003"	"2003/01"	"Suicide"	"2"	2692	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.46%
	"2003"	"2003"	"Feb., 2003"	"2003/02"	"Suicide"	"2"	2302	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.39%
	"2003"	"2003"	"Mar., 2003"	"2003/03"	"Suicide"	"2"	2773	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.47%
	"2003"	"2003"	"Apr., 2003"	"2003/04"	"Suicide"	"2"	2637	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.45%
	"2003"	"2003"	"May, 2003"	"2003/05"	"Suicide"	"2"	2785	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.47%
	"2003"	"2003"	"Jun., 2003"	"2003/06"	"Suicide"	"2"	2803	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.47%
	"2003"	"2003"	"Jul., 2003"	"2003/07"	"Suicide"	"2"	2767	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.47%
	"2003"	"2003"	"Aug., 2003"	"2003/08"	"Suicide"	"2"	2693	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.46%
	"2003"	"2003"	"Sep., 2003"	"2003/09"	"Suicide"	"2"	2559	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.43%
	"2003"	"2003"	"Oct., 2003"	"2003/10"	"Suicide"	"2"	2564	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.43%
	"2003"	"2003"	"Nov., 2003"	"2003/11"	"Suicide"	"2"	2499	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.42%
	"2003"	"2003"	"Dec., 2003"	"2003/12"	"Suicide"	"2"	2410	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.41%
	"2004"	"2004"	"Jan., 2004"	"2004/01"	"Suicide"	"2"	2624	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.44%
	"2004"	"2004"	"Feb., 2004"	"2004/02"	"Suicide"	"2"	2509	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.42%
	"2004"	"2004"	"Mar., 2004"	"2004/03"	"Suicide"	"2"	2845	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.48%
	"2004"	"2004"	"Apr., 2004"	"2004/04"	"Suicide"	"2"	2718	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.46%
	"2004"	"2004"	"May, 2004"	"2004/05"	"Suicide"	"2"	2771	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.47%
	"2004"	"2004"	"Jun., 2004"	"2004/06"	"Suicide"	"2"	2722	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.46%
	"2004"	"2004"	"Jul., 2004"	"2004/07"	"Suicide"	"2"	2911	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.49%
	"2004"	"2004"	"Aug., 2004"	"2004/08"	"Suicide"	"2"	2743	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.46%
	"2004"	"2004"	"Sep., 2004"	"2004/09"	"Suicide"	"2"	2715	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.46%
	"2004"	"2004"	"Oct., 2004"	"2004/10"	"Suicide"	"2"	2772	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.47%
	"2004"	"2004"	"Nov., 2004"	"2004/11"	"Suicide"	"2"	2642	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.45%
	"2004"	"2004"	"Dec., 2004"	"2004/12"	"Suicide"	"2"	2467	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.42%
	"2005"	"2005"	"Jan., 2005"	"2005/01"	"Suicide"	"2"	2703	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.46%
	"2005"	"2005"	"Feb., 2005"	"2005/02"	"Suicide"	"2"	2454	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.42%
	"2005"	"2005"	"Mar., 2005"	"2005/03"	"Suicide"	"2"	2826	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.48%
	"2005"	"2005"	"Apr., 2005"	"2005/04"	"Suicide"	"2"	2804	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.47%
	"2005"	"2005"	"May, 2005"	"2005/05"	"Suicide"	"2"	2896	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.49%
	"2005"	"2005"	"Jun., 2005"	"2005/06"	"Suicide"	"2"	2763	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.47%
	"2005"	"2005"	"Jul., 2005"	"2005/07"	"Suicide"	"2"	2833	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.48%
	"2005"	"2005"	"Aug., 2005"	"2005/08"	"Suicide"	"2"	2752	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.47%
	"2005"	"2005"	"Sep., 2005"	"2005/09"	"Suicide"	"2"	2770	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.47%
	"2005"	"2005"	"Oct., 2005"	"2005/10"	"Suicide"	"2"	2718	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.46%
	"2005"	"2005"	"Nov., 2005"	"2005/11"	"Suicide"	"2"	2572	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.43%
