"Notes"	"Year"	"Year Code"	"Gender"	"Gender Code"	"Age Group"	"Age Group Code"	"Injury Intent"	"Injury Intent Code"	"Injury Mechanism & All Other Leading Causes"	"Injury Mechanism & All Other Leading Causes Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	% of Total Deaths
	"1999"	"1999"	"Female"	"F"	"10-14 years"	"10-14"	"Suicide"	"2"	"Firearm"	"GRINJ-006"	23	9855664	0.23	0.15	0.35	0.00%
	"1999"	"1999"	"Female"	"F"	"10-14 years"	"10-14"	"Suicide"	"2"	"Poisoning"	"GRINJ-015"	3	9855664	0.03 (Unreliable)	0.01	0.09	0.00%
	"1999"	"1999"	"Female"	"F"	"10-14 years"	"10-14"	"Suicide"	"2"	"Suffocation"	"GRINJ-017"	22	9855664	0.22	0.14	0.34	0.00%
	"1999"	"1999"	"Female"	"F"	"10-14 years"	"10-14"	"Suicide"	"2"	"Other specified, classifiable Injury"	"GRINJ-018"	2	9855664	0.02 (Unreliable)	0.00	0.07	0.00%
"Total"	"1999"	"1999"	"Female"	"F"	"10-14 years"	"10-14"	"Suicide"	"2"			50	9855664	0.51	0.38	0.67	0.01%
"Total"	"1999"	"1999"	"Female"	"F"	"10-14 years"	"10-14"					50	9855664	0.51	0.38	0.67	0.01%
	"1999"	"1999"	"Female"	"F"	"15-19 years"	"15-19"	"Suicide"	"2"	"Cut/Pierce"	"GRINJ-001"	1	9761569	0.01 (Unreliable)	0.00	0.06	0.00%
	"1999"	"1999"	"Female"	"F"	"15-19 years"	"15-19"	"Suicide"	"2"	"Drowning"	"GRINJ-002"	2	9761569	0.02 (Unreliable)	0.00	0.07	0.00%
	"1999"	"1999"	"Female"	"F"	"15-19 years"	"15-19"	"Suicide"	"2"	"Fall"	"GRINJ-003"	12	9761569	0.12 (Unreliable)	0.06	0.21	0.00%
	"1999"	"1999"	"Female"	"F"	"15-19 years"	"15-19"	"Suicide"	"2"	"Fire/Flame"	"GRINJ-004"	1	9761569	0.01 (Unreliable)	0.00	0.06	0.00%
	"1999"	"1999"	"Female"	"F"	"15-19 years"	"15-19"	"Suicide"	"2"	"Firearm"	"GRINJ-006"	108	9761569	1.11	0.90	1.32	0.02%
	"1999"	"1999"	"Female"	"F"	"15-19 years"	"15-19"	"Suicide"	"2"	"Other land transport"	"GRINJ-011"	2	9761569	0.02 (Unreliable)	0.00	0.07	0.00%
	"1999"	"1999"	"Female"	"F"	"15-19 years"	"15-19"	"Suicide"	"2"	"Poisoning"	"GRINJ-015"	47	9761569	0.48	0.35	0.64	0.01%
	"1999"	"1999"	"Female"	"F"	"15-19 years"	"15-19"	"Suicide"	"2"	"Suffocation"	"GRINJ-017"	87	9761569	0.89	0.71	1.10	0.01%
	"1999"	"1999"	"Female"	"F"	"15-19 years"	"15-19"	"Suicide"	"2"	"Other specified, classifiable Injury"	"GRINJ-018"	6	9761569	0.06 (Unreliable)	0.02	0.13	0.00%
