"Notes"	"Age Group"	"Age Group Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	% of Total Deaths
	"10-14 years"	"10-14"	"1999"	"1999"	"Suicide"	"2"	242	20213364	1.20	1.05	1.35	0.04%
	"10-14 years"	"10-14"	"2000"	"2000"	"Suicide"	"2"	300	20528072	1.46	1.30	1.63	0.05%
	"10-14 years"	"10-14"	"2001"	"2001"	"Suicide"	"2"	272	20978678	1.30	1.14	1.45	0.04%
	"10-14 years"	"10-14"	"2002"	"2002"	"Suicide"	"2"	260	21261421	1.22	1.07	1.37	0.04%
	"10-14 years"	"10-14"	"2003"	"2003"	"Suicide"	"2"	244	21415353	1.14	1.00	1.28	0.04%
	"10-14 years"	"10-14"	"2004"	"2004"	"Suicide"	"2"	283	21411680	1.32	1.17	1.48	0.04%
	"10-14 years"	"10-14"	"2005"	"2005"	"Suicide"	"2"	270	21212579	1.27	1.12	1.42	0.04%
	"10-14 years"	"10-14"	"2006"	"2006"	"Suicide"	"2"	216	21033138	1.03	0.89	1.16	0.03%
	"10-14 years"	"10-14"	"2007"	"2007"	"Suicide"	"2"	180	20841042	0.86	0.74	0.99	0.03%
	"10-14 years"	"10-14"	"2008"	"2008"	"Suicide"	"2"	215	20706655	1.04	0.90	1.18	0.03%
	"10-14 years"	"10-14"	"2009"	"2009"	"Suicide"	"2"	259	20660564	1.25	1.10	1.41	0.04%
	"10-14 years"	"10-14"	"2010"	"2010"	"Suicide"	"2"	267	20677194	1.29	1.14	1.45	0.04%
	"10-14 years"	"10-14"	"2011"	"2011"	"Suicide"	"2"	282	20704852	1.36	1.20	1.52	0.04%
	"10-14 years"	"10-14"	"2012"	"2012"	"Suicide"	"2"	306	20669218	1.48	1.31	1.65	0.05%
	"10-14 years"	"10-14"	"2013"	"2013"	"Suicide"	"2"	386	20650454	1.87	1.68	2.06	0.06%
	"10-14 years"	"10-14"	"2014"	"2014"	"Suicide"	"2"	425	20671506	2.06	1.86	2.25	0.07%
	"10-14 years"	"10-14"	"2015"	"2015"	"Suicide"	"2"	409	20622330	1.98	1.79	2.18	0.06%
	"10-14 years"	"10-14"	"2016"	"2016"	"Suicide"	"2"	436	20618233	2.11	1.92	2.31	0.07%
