"Notes"	"Injury Intent"	"Injury Intent Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	% of Total Deaths
	"Suicide"	"2"	"1999"	"1999"	29199	279040168	10.46	10.34	10.58	10.47	10.35	10.59	4.49%
	"Suicide"	"2"	"2000"	"2000"	29350	281421906	10.43	10.31	10.55	10.44	10.32	10.56	4.52%
	"Suicide"	"2"	"2001"	"2001"	30622	284968955	10.75	10.63	10.87	10.72	10.60	10.84	4.71%
	"Suicide"	"2"	"2002"	"2002"	31655	287625193	11.01	10.88	11.13	10.97	10.85	11.09	4.87%
	"Suicide"	"2"	"2003"	"2003"	31484	290107933	10.85	10.73	10.97	10.79	10.67	10.91	4.84%
	"Suicide"	"2"	"2004"	"2004"	32439	292805298	11.08	10.96	11.20	10.99	10.87	11.11	4.99%
	"Suicide"	"2"	"2005"	"2005"	32637	295516599	11.04	10.92	11.16	10.92	10.80	11.04	5.02%
	"Suicide"	"2"	"2006"	"2006"	33300	298379912	11.16	11.04	11.28	10.99	10.87	11.11	5.12%
	"Suicide"	"2"	"2007"	"2007"	34598	301231207	11.49	11.36	11.61	11.28	11.16	11.40	5.32%
	"Suicide"	"2"	"2008"	"2008"	36035	304093966	11.85	11.73	11.97	11.61	11.49	11.73	5.55%
	"Suicide"	"2"	"2009"	"2009"	36909	306771529	12.03	11.91	12.15	11.76	11.64	11.88	5.68%
	"Suicide"	"2"	"2010"	"2010"	38364	308745538	12.43	12.30	12.55	12.10	11.98	12.22	5.90%
	"Suicide"	"2"	"2011"	"2011"	39518	311591917	12.68	12.56	12.81	12.35	12.23	12.47	6.08%
	"Suicide"	"2"	"2012"	"2012"	40600	313914040	12.93	12.81	13.06	12.57	12.45	12.70	6.25%
	"Suicide"	"2"	"2013"	"2013"	41149	316128839	13.02	12.89	13.14	12.61	12.48	12.73	6.33%
	"Suicide"	"2"	"2014"	"2014"	42826	318857056	13.43	13.30	13.56	12.98	12.85	13.10	6.59%
	"Suicide"	"2"	"2015"	"2015"	44193	321418820	13.75	13.62	13.88	13.29	13.16	13.42	6.80%
	"Suicide"	"2"	"2016"	"2016"	44965	323127513	13.92	13.79	14.04	13.46	13.33	13.58	6.92%
